Automóvel,Descrição,Automático,Ano,Km,Local,Anunciante,Preço
CHEVROLET S10,2.8 LTZ 4X4 CD 16V TURBO DIESEL 4P AUTOMÁTICO,Y,2019/2020,24900 km,Castelo - ES,Loja,R$ 210000
FIAT TORO,2.0 16V TURBO DIESEL VOLCANO 4WD AT9,Y,2020/2021,18981 km,Divinópolis - MG,Loja,R$ 159900
DODGE RAM,6.7 2500 LARAMIE 4X4 CD I6 TURBO DIESEL 4P AUTOMÁTICO,Y,2020/2020,0 km,São Paulo - SP,Loja,R$ 559990
VOLKSWAGEN AMAROK,2.0 HIGHLINE EXTREME 4X4 CD 16V TURBO INTERCOOLER DIESEL 4P AUTOMÁTICO,Y,2017/2018,85422 km,São Gotardo - MG,Loja,R$ 204900
TOYOTA HILUX,2.8 SRV 4X4 CD 16V DIESEL 4P AUTOMÁTICO,Y,2018/2019,69000 km,Guaratinguetá - SP,Loja,R$ 225900
CHEVROLET MONTANA,1.4 MPFI LS CS 8V FLEX 2P MANUAL,N,2016/2017,122400 km,Suzano - SP,Loja,R$ 45900
VOLKSWAGEN SAVEIRO,1.6 CROSS CE 16V FLEX 2P MANUAL,N,2017/2018,70000 km,Campinas - SP,Concessionária,R$ 79900
NISSAN FRONTIER,2.3 16V TURBO DIESEL ATTACK CD 4X4 AUTOMÁTICO,Y,2019/2020,30000 km,Americana - SP,Loja,R$ 185000
FIAT TORO,2.0 16V TURBO DIESEL RANCH 4WD AT9,Y,2021/2022,0 km,São Paulo - SP,Loja,R$ 190990
FIAT TORO,2.0 16V TURBO DIESEL ULTRA 4WD AT9,Y,2021/2022,0 km,Londrina - PR,Concessionária,R$ 169990
FIAT TORO,2.0 16V TURBO DIESEL ENDURANCE 4WD AT9,Y,2021/2022,0 km,Londrina - PR,Concessionária,R$ 143990
NISSAN FRONTIER,2.3 16V TURBO DIESEL LE CD 4X4 AUTOMÁTICO,Y,2021/2021,0 km,Londrina - PR,Concessionária,R$ 208990
FIAT TORO,1.3 TURBO 270 FLEX VOLCANO AT6,Y,2021/2022,0 km,Limeira - SP,Loja,R$ 162900
CHEVROLET S10,2.5 LTZ 4X4 CD 16V FLEX 4P AUTOMÁTICO,Y,2019/2020,20000 km,Uberaba - MG,Loja,R$ 179990
FORD RANGER,2.2 XLS 4X4 CD 16V DIESEL 4P AUTOMÁTICO,Y,2019/2020,5500 km,Ponta Grossa - PR,Loja,R$ 188900
FIAT STRADA,1.4 MPI HARD WORKING CS 8V FLEX 2P MANUAL,N,2019/2020,40000 km,Osasco - SP,Loja,R$ 62900
FIAT TORO,1.8 16V EVO FLEX FREEDOM AT6,Y,2019/2019,78000 km,Londrina - PR,Loja,R$ 99900
FORD RANGER,3.2 LIMITED 4X4 CD 20V DIESEL 4P AUTOMÁTICO,Y,2020/2021,11500 km,Pará de Minas - MG,Loja,R$ 248900
TOYOTA HILUX,2.8 D-4D TURBO DIESEL CD SRX 4X4 AUTOMÁTICO,Y,2021/2021,0 km,Santa Bárbara D'Oeste - SP,Loja,R$ 329900
RAM 2500,6.7 I6 TURBO DIESEL LARAMIE CD 4X4 AUTOMÁTICO,Y,2021/2021,0 km,Siqueira Campos - PR,Loja,R$ 455000
NISSAN FRONTIER,2.3 16V TURBO DIESEL ATTACK CD 4X4 AUTOMÁTICO,Y,2020/2021,21000 km,Blumenau - SC,Concessionária,R$ 202900
MITSUBISHI L200 TRITON,2.4 16V TURBO DIESEL SPORT GLX OUTDOOR CD 4P 4X4 MANUAL,N,2019/2020,19985 km,Santo André - SP,Loja,R$ 179990
VOLKSWAGEN AMAROK,3.0 V6 TDI DIESEL HIGHLINE CD 4MOTION AUTOMÁTICO,Y,2018/2019,42400 km,Caçador - SC,Loja,R$ 235900
RAM 2500,6.7 I6 TURBO DIESEL LARAMIE CD 4X4 AUTOMÁTICO,Y,2021/2021,0 km,Goiânia - GO,Loja,R$ 469000
FORD RANGER,3.2 LIMITED 4X4 CD 20V DIESEL 4P AUTOMÁTICO,Y,2018/2019,45970 km,Votuporanga - SP,Concessionária,R$ 209990
FIAT TORO,2.0 16V TURBO DIESEL RANCH 4WD AT9,Y,2020/2021,11819 km,São Paulo - SP,Loja,R$ 169800
FORD RANGER,3.2 LIMITED 4X4 CD 20V DIESEL 4P AUTOMÁTICO,Y,2018/2019,62900 km,Gaspar - SC,Loja,R$ 209900
FIAT TORO,2.0 16V TURBO DIESEL ULTRA 4WD AT9,Y,2021/2021,0 km,Andradas - MG,Loja,R$ 177000
TOYOTA COROLLA CROSS,1.8 VVT-I HYBRID FLEX SPECIAL EDITION CVT,Y,2021/2022,4900 km,Boituva - SP,Loja,R$ 209900
FIAT STRADA,1.8 MPI ADVENTURE CD 16V FLEX 3P MANUAL,N,2019/2019,39000 km,Criciúma - SC,Loja,R$ 79900
VOLKSWAGEN AMAROK,3.0 V6 TDI DIESEL HIGHLINE EXTREME CD 4MOTION AUTOMÁTICO,Y,2019/2020,47155 km,Brasília - DF,Loja,R$ 256000
CHEVROLET S10,2.5 LTZ 4X4 CD 16V FLEX 4P AUTOMÁTICO,Y,2018/2019,112000 km,São Miguel do Oeste - SC,Concessionária,R$ 155000
RAM 2500,6.7 I6 TURBO DIESEL LARAMIE CD 4X4 AUTOMÁTICO,Y,2021/2021,0 km,Leme - SP,Loja,R$ 468890
RAM 2500,6.7 I6 TURBO DIESEL LARAMIE CD 4X4 AUTOMÁTICO,Y,2021/2021,0 km,Vitória - ES,Concessionária,R$ 489000
TOYOTA HILUX SW4,2.8 D-4D TURBO DIESEL SRX 7L 4X4 AUTOMÁTICO,Y,2021/2021,0 km,Goiânia - GO,Loja,R$ 420000
FIAT TORO,1.8 16V EVO FLEX FREEDOM AT6,Y,2020/2021,7987 km,Itajaí - SC,Concessionária,R$ 129900
FORD RANGER,2.2 XLS 4X4 CD 16V DIESEL 4P AUTOMÁTICO,Y,2019/2020,42000 km,São João da Boa Vista - SP,Loja,R$ 184999
TOYOTA HILUX,2.7 SRV 4X2 CD 16V FLEX 4P AUTOMÁTICO,Y,2020/2020,30000 km,Santo André - SP,Loja,R$ 179990
FORD RANGER,3.2 STORM 4X4 CD 20V DIESEL 4P AUTOMÁTICO,Y,2020/2021,13900 km,Sorocaba - SP,Loja,R$ 217900
FIAT TORO,2.0 16V TURBO DIESEL VOLCANO 4WD AT9,Y,2019/2019,84000 km,Piracicaba - SP,Loja,R$ 139900
MITSUBISHI L200 TRITON,2.4 16V TURBO DIESEL SPORT HPE CD 4P 4X4 AUTOMÁTICO,Y,2021/2022,100 km,São João de Meriti - RJ,Loja,R$ 389900
VOLKSWAGEN SAVEIRO,1.6 CROSS CD 16V FLEX 2P MANUAL,N,2019/2020,9000 km,Manaus - AM,Loja,R$ 89990
VOLKSWAGEN SAVEIRO,1.6 MSI TRENDLINE CS 8V FLEX 2P MANUAL,N,2019/2020,40500 km,Divinópolis - MG,Concessionária,R$ 69000
RAM 2500,6.7 I6 TURBO DIESEL NIGHT EDITION CD 4X4 AUTOMÁTICO,Y,2021/2021,0 km,Patos de Minas - MG,Loja,R$ 495000
MITSUBISHI L200 TRITON,2.4 16V TURBO DIESEL SPORT GLX CD 4P 4X4 MANUAL,N,2018/2019,92000 km,Itumbiara - GO,Loja,R$ 132000
FORD RANGER,3.2 LIMITED 4X4 CD 20V DIESEL 4P AUTOMÁTICO,Y,2020/2021,10000 km,Serra - ES,Loja,R$ 249900
VOLKSWAGEN AMAROK,3.0 V6 TDI DIESEL HIGHLINE EXTREME CD 4MOTION AUTOMÁTICO,Y,2019/2019,58000 km,Macaé - RJ,Loja,R$ 235000
MITSUBISHI L200 TRITON,2.4 16V TURBO DIESEL OUTDOOR GLX CD 4X4 MANUAL,N,2021/2022,0 km,São Bento do Sul - SC,Concessionária,R$ 193990
RAM 2500,6.7 I6 TURBO DIESEL LARAMIE CD 4X4 AUTOMÁTICO,Y,2021/2021,0 km,Catanduva - SP,Loja,R$ 550000
FIAT STRADA,1.4 MPI HARD WORKING CD 8V FLEX 3P MANUAL,N,2019/2020,37000 km,Jundiaí - SP,Loja,R$ 71900
VOLKSWAGEN AMAROK,3.0 V6 TDI DIESEL HIGHLINE CD 4MOTION AUTOMÁTICO,Y,2018/2019,40403 km,Monte Sião - MG,Loja,R$ 240000
TOYOTA COROLLA CROSS,1.8 VVT-I HYBRID FLEX XRX CVT,Y,2021/2022,0 km,Boituva - SP,Loja,R$ 197720
VOLKSWAGEN AMAROK,3.0 V6 TDI DIESEL HIGHLINE EXTREME CD 4MOTION AUTOMÁTICO,Y,2018/2019,70000 km,Americana - SP,Loja,R$ 235000
BMW X7,4.4 V8 GASOLINA M50i STEPTRONIC,Y,2020/2021,11800 km,Blumenau - SC,Loja,R$ 968900
LAND ROVER RANGE ROVER SPORT,3.0 SE 4X4 V6 24V BITURBO DIESEL 4P AUTOMÁTICO,Y,2019/2019,50000 km,Criciúma - SC,Loja,R$ 525000
TOYOTA HILUX SW4,2.7 SR 4X2 16V FLEX 4P AUTOMÁTICO,Y,2014/2014,138077 km,Bauru - SP,Loja,R$ 104900
FORD RANGER,3.2 LIMITED 4X4 CD 20V DIESEL 4P AUTOMÁTICO,Y,2021/2021,19800 km,Blumenau - SC,Concessionária,R$ 258900
TOYOTA HILUX SW4,2.7 SR 4X2 16V FLEX 4P AUTOMÁTICO,Y,2013/2013,128000 km,Campinas - SP,Loja,R$ 104990
LAND ROVER RANGE ROVER VELAR,2.0 P250 GASOLINA SE AUTOMÁTICO,Y,2018/2018,51000 km,Brasília - DF,Loja,R$ 389900
AUDI A5,2.0 TFSI GASOLINA SPORTBACK PRESTIGE PLUS S TRONIC,Y,2021/2021,1090 km,Blumenau - SC,Loja,R$ 320900
AUDI A4,2.0 TFSI GASOLINA PRESTIGE PLUS S TRONIC,Y,2020/2021,11000 km,São Paulo - SP,Concessionária,R$ 259900
FORD RANGER,2.2 XLS 4X2 CD 16V DIESEL 4P AUTOMÁTICO,Y,2019/2020,41000 km,Santa Cruz do Sul - RS,Loja,R$ 166900
VOLKSWAGEN AMAROK,3.0 V6 TDI DIESEL HIGHLINE EXTREME CD 4MOTION AUTOMÁTICO,Y,2019/2019,29900 km,São Paulo - SP,Loja,R$ 243000
VOLKSWAGEN AMAROK,2.0 HIGHLINE 4X4 CD 16V TURBO INTERCOOLER DIESEL 4P AUTOMÁTICO,Y,2017/2017,110000 km,Piracicaba - SP,Loja,R$ 163900
VOLVO XC90,2.0 T8 HYBRID INSCRIPTION AWD GEARTRONIC,Y,2020/2020,13000 km,Porto Alegre - RS,Loja,R$ 479900
AUDI Q8,3.0 TFSI GASOLINA PERFORMANCE BLACK QUATTRO TIPTRONIC,Y,2020/2021,23000 km,São Caetano do Sul - SP,Loja,R$ 650000
VOLKSWAGEN AMAROK,3.0 V6 TDI DIESEL HIGHLINE EXTREME CD 4MOTION AUTOMÁTICO,Y,2019/2019,82000 km,Indaiatuba - SP,Loja,R$ 228900
AUDI A5,2.0 TFSI GASOLINA SPORTBACK PRESTIGE PLUS S TRONIC,Y,2018/2019,12500 km,Catanduva - SP,Loja,R$ 219500
LAND ROVER RANGE ROVER VELAR,2.0 P300 GASOLINA R-DYNAMIC SE AUTOMÁTICO,Y,2019/2020,15017 km,São Paulo - SP,Loja,R$ 594000
VOLKSWAGEN AMAROK,3.0 V6 TDI DIESEL HIGHLINE CD 4MOTION AUTOMÁTICO,Y,2018/2019,69496 km,Rio Grande - RS,Loja,R$ 235900
LAND ROVER RANGE ROVER SPORT,5.0 SVR CARBON EDITION 4X4 V8 32V GASOLINA 4P AUTOMÁTICO,Y,2021/2022,161 km,Brasília - DF,Loja,R$ 1350000
FORD RANGER,3.2 XLT 4X4 CD 20V DIESEL 4P AUTOMÁTICO,Y,2020/2021,13000 km,Curitiba - PR,Concessionária,R$ 232990
AUDI Q5,2.0 45 TFSI GASOLINA S-LINE QUATTRO S TRONIC,Y,2021/2021,0 km,Blumenau - SC,Loja,R$ 439900
TOYOTA HILUX,2.8 NARROW 4X4 CD 16V DIESEL 4P MANUAL,N,2018/2019,54703 km,Joinville - SC,Concessionária,R$ 174490
VOLKSWAGEN AMAROK,2.0 HIGHLINE 4X4 CD 16V TURBO INTERCOOLER DIESEL 4P AUTOMÁTICO,Y,2018/2018,74500 km,São Paulo - SP,Loja,R$ 174900
BMW X5,3.0 M SPORT 4X4 30D I6 TURBO DIESEL 4P AUTOMÁTICO,Y,2019/2019,19000 km,Itajaí - SC,Loja,R$ 575900
VOLKSWAGEN AMAROK,3.0 V6 TDI DIESEL HIGHLINE CD 4MOTION AUTOMÁTICO,Y,2021/2021,1000 km,Rio de Janeiro - RJ,Loja,R$ 269900
LAND ROVER RANGE ROVER VELAR,2.0 P300 GASOLINA R-DYNAMIC S AUTOMÁTICO,Y,2018/2019,22688 km,Brasília - DF,Loja,R$ 439700
AUDI Q5,2.0 TFSI GASOLINA PRESTIGE S TRONIC,Y,2019/2020,19000 km,Recife - PE,Loja,R$ 269990
VOLKSWAGEN AMAROK,3.0 V6 TDI DIESEL HIGHLINE EXTREME CD 4MOTION AUTOMÁTICO,Y,2021/2021,0 km,Divinópolis - MG,Concessionária,R$ 298900
VOLKSWAGEN AMAROK,3.0 V6 TDI DIESEL HIGHLINE CD 4MOTION AUTOMÁTICO,Y,2021/2021,0 km,Divinópolis - MG,Concessionária,R$ 287900
AUDI E-TRON,ELÉTRICO SPORTBACK PERFORMANCE BLACK QUATTRO,Y,2021/2021,0 km,Campinas - SP,Concessionária,R$ 693690
DODGE JOURNEY,3.6 RT V6 GASOLINA 4P AUTOMÁTICO,Y,2017/2018,31500 km,São Caetano do Sul - SP,Pessoa Física,R$ 120000
LAND ROVER RANGE ROVER VOGUE,3.0 TDV6 4X4 24V TURBO DIESEL 4P AUTOMÁTICO,Y,2018/2019,20003 km,Porto Alegre - RS,Pessoa Física,R$ 619900
AUDI Q5,2.0 TFSI GASOLINA PRESTIGE PLUS S TRONIC,Y,2018/2019,8000 km,Belo Horizonte - MG,Pessoa Física,R$ 254900
AUDI A4,2.0 TFSI GASOLINA PRESTIGE PLUS S TRONIC,Y,2019/2019,23500 km,Belo Horizonte - MG,Pessoa Física,R$ 175000
BMW X5,3.0 4X4 30D I6 TURBO DIESEL 4P AUTOMÁTICO,Y,2017/2018,26000 km,Campo Grande - MS,Pessoa Física,R$ 338900
MERCEDES-BENZ GLE 400d,3.0 V6 DIESEL 4MATIC 9G-TRONIC,Y,2021/2021,2055 km,Rio de Janeiro - RJ,Pessoa Física,R$ 685000
AUDI A4,2.0 TFSI AMBIENTE AVANT GASOLINA 4P S TRONIC,Y,2017/2018,34000 km,Mogi das Cruzes - SP,Pessoa Física,R$ 140000
VOLVO XC90,2.0 D5 DIESEL INSCRIPTION AWD GEARTRONIC,Y,2016/2017,73000 km,Joinville - SC,Pessoa Física,R$ 310000
DODGE JOURNEY,3.6 RT V6 GASOLINA 4P AUTOMÁTICO,Y,2017/2017,62500 km,Rio de Janeiro - RJ,Pessoa Física,R$ 87990
BMW X5,3.0 4X4 30D I6 TURBO DIESEL 4P AUTOMÁTICO,Y,2017/2018,43400 km,Salvador - BA,Pessoa Física,R$ 299000
BMW X5,4.4 V8 TURBO GASOLINA M AUTOMATICO,Y,2017/2018,34000 km,Ivaiporã - PR,Pessoa Física,R$ 430000
VOLVO XC90,2.0 D5 DIESEL INSCRIPTION AWD GEARTRONIC,Y,2016/2017,63000 km,Cuiabá - MT,Pessoa Física,R$ 285000
AUDI Q7,3.0 V6 TFSI GASOLINA MHEV QUATTRO S-LINE TIPTRONIC,Y,2021/2021,1900 km,Manaus - AM,Pessoa Física,R$ 489900
AUDI A5,2.0 TFSI GASOLINA SPORTBACK PRESTIGE PLUS S TRONIC,Y,2018/2019,46000 km,Salvador - BA,Pessoa Física,R$ 192000
AUDI A5,2.0 TFSI GASOLINA SPORTBACK PERFORMANCE BLACK S TRONIC,Y,2019/2019,14000 km,Bauru - SP,Pessoa Física,R$ 254900
AUDI A4,2.0 TFSI GASOLINA AVANT PRESTIGE PLUS S TRONIC,Y,2019/2019,31000 km,Niterói - RJ,Loja,R$ 199990
DODGE JOURNEY,3.6 RT V6 GASOLINA 4P AUTOMÁTICO,Y,2018/2018,30000 km,Paulínia - SP,Pessoa Física,R$ 124000
AUDI Q5,2.0 TFSI GASOLINA BLACK S TRONIC,Y,2019/2019,22800 km,São Paulo - SP,Pessoa Física,R$ 267900
MERCEDES-BENZ GLE 400,3.0 V6 GASOLINA HIGHWAY COUPÉ 4MATIC 9G-TRONIC,Y,2019/2019,19000 km,Porto Alegre - RS,Pessoa Física,R$ 409998
DODGE JOURNEY,3.6 RT V6 GASOLINA 4P AUTOMÁTICO,Y,2017/2018,60000 km,Londrina - PR,Pessoa Física,R$ 99900
MERCEDES-BENZ GLE 400d,3.0 V6 DIESEL 4MATIC 9G-TRONIC,Y,2019/2020,13000 km,Brasília - DF,Pessoa Física,R$ 640000
LAND ROVER RANGE ROVER VELAR,2.0 P250 GASOLINA R-DYNAMIC HSE AUTOMÁTICO,Y,2018/2018,27500 km,Porto Alegre - RS,Pessoa Física,R$ 430000
MERCEDES-BENZ GLE 400,3.0 V6 GASOLINA HIGHWAY COUPÉ 4MATIC 9G-TRONIC,Y,2019/2019,17000 km,Brasília - DF,Pessoa Física,R$ 439900
LAND ROVER RANGE ROVER SPORT,3.0 HSE 4X4 V6 24V TURBO DIESEL 4P AUTOMÁTICO,Y,2019/2019,34000 km,Montes Claros - MG,Pessoa Física,R$ 550000
BMW 745Le,3.0 TWINPOWER HÍBRIDO M SPORT DARK EDITION AUTOMÁTICO,Y,2021/2022,2100 km,Rio de Janeiro - RJ,Pessoa Física,R$ 635000
LAND ROVER RANGE ROVER SPORT,3.0 HSE 4X4 V6 24V TURBO DIESEL 4P AUTOMÁTICO,Y,2018/2019,31000 km,Varginha - MG,Pessoa Física,R$ 531000
AUDI Q5,2.0 TFSI GASOLINA S-LINE S TRONIC,Y,2020/2020,17000 km,Florianópolis - SC,Pessoa Física,R$ 269000
VOLVO XC90,2.0 T8 HYBRID INSCRIPTION AWD GEARTRONIC,Y,2017/2018,24000 km,Rio de Janeiro - RJ,Pessoa Física,R$ 385000
BMW X5,3.0 4X4 30D I6 TURBO DIESEL 4P AUTOMÁTICO,Y,2018/2018,64700 km,Londrina - PR,Pessoa Física,R$ 315900
LAND ROVER RANGE ROVER SPORT,5.0 SVR 4X4 V8 32V GASOLINA 4P AUTOMÁTICO,Y,2020/2021,4500 km,Brasília - DF,Pessoa Física,R$ 1050000
VOLVO XC90,2.0 T8 HYBRID INSCRIPTION AWD GEARTRONIC,Y,2019/2020,21000 km,Florianópolis - SC,Pessoa Física,R$ 448000
LAND ROVER DISCOVERY,3.0 V6 TD6 DIESEL HSE 4WD AUTOMÁTICO,Y,2019/2020,15000 km,Itajaí - SC,Pessoa Física,R$ 540000
VOLVO XC90,2.0 T6 GASOLINA MOMENTUM AWD GEARTRONIC,Y,2018/2019,18000 km,Araçatuba - SP,Pessoa Física,R$ 340000
TOYOTA HILUX SW4,2.7 SR 4X2 16V FLEX 4P AUTOMÁTICO,Y,2015/2015,86650 km,Salvador - BA,Pessoa Física,R$ 105000
LAND ROVER RANGE ROVER VELAR,2.0 P300 GASOLINA R-DYNAMIC SE AUTOMÁTICO,Y,2019/2020,9880 km,Cajamar - SP,Pessoa Física,R$ 499900
AUDI Q8,3.0 TFSI GASOLINA PERFORMANCE BLACK QUATTRO TIPTRONIC,Y,2020/2021,6800 km,Torres - RS,Pessoa Física,R$ 649000
AUDI Q5,2.0 TFSI GASOLINA PRESTIGE S TRONIC,Y,2019/2020,20100 km,Campo Grande - MS,Pessoa Física,R$ 239900
LAND ROVER RANGE ROVER SPORT,4.4 HSE DYNAMIC 4X4 V8 32V DIESEL 4P AUTOMÁTICO,Y,2018/2018,14046 km,Teresina - PI,Pessoa Física,R$ 630000
VOLVO V60,2.0 T4 MOMENTUM GASOLINA 4P AUTOMÁTICO,Y,2017/2017,56000 km,Gramado - RS,Pessoa Física,R$ 100000
VOLVO XC90,2.0 T8 HYBRID INSCRIPTION AWD GEARTRONIC,Y,2019/2019,69000 km,Lajeado - RS,Pessoa Física,R$ 359000
AUDI Q7,3.0 55 TFSI GASOLINA QUATTRO S-LINE TIPTRONIC,Y,2020/2021,8500 km,São Paulo - SP,Pessoa Física,R$ 509000
VOLKSWAGEN AMAROK,3.0 V6 TDI DIESEL HIGHLINE CD 4MOTION AUTOMÁTICO,Y,2021/2021,3200 km,Blumenau - SC,Pessoa Física,R$ 278800
BMW X5,3.0 4X4 30D I6 TURBO DIESEL 4P AUTOMÁTICO,Y,2018/2018,57000 km,Curitiba - PR,Pessoa Física,R$ 314990
TOYOTA HILUX SW4,2.7 SR 4X2 16V FLEX 4P AUTOMÁTICO,Y,2013/2014,150000 km,São Paulo - SP,Pessoa Física,R$ 94990
FORD RANGER,3.2 LIMITED 4X4 CD 20V DIESEL 4P AUTOMÁTICO,Y,2020/2021,3000 km,Americana - SP,Pessoa Física,R$ 260900
AUDI Q5,2.0 TFSI GASOLINA S-LINE S TRONIC,Y,2019/2019,19000 km,Porto Ferreira - SP,Pessoa Física,R$ 274900
VOLKSWAGEN AMAROK,2.0 S 4X4 CS 16V TURBO INTERCOOLER DIESEL 2P MANUAL,N,2018/2019,47044 km,Teresina - PI,Loja,R$ 126990
LAND ROVER RANGE ROVER VELAR,2.0 P300 GASOLINA R-DYNAMIC SE AUTOMÁTICO,Y,2020/2020,13900 km,Natal - RN,Pessoa Física,R$ 469900
VOLVO XC90,2.0 T8 HYBRID INSCRIPTION AWD GEARTRONIC,Y,2020/2020,30000 km,Jaraguá do Sul - SC,Pessoa Física,R$ 425000
VOLKSWAGEN AMAROK,3.0 V6 TDI DIESEL HIGHLINE CD 4MOTION AUTOMÁTICO,Y,2019/2019,42980 km,Teresina - PI,Pessoa Física,R$ 197500
FORD RANGER,3.2 STORM 4X4 CD 20V DIESEL 4P AUTOMÁTICO,Y,2020/2020,19000 km,Curitiba - PR,Pessoa Física,R$ 205000
HONDA FIT,1.4 LX 16V FLEX 4P AUTOMÁTICO,Y,2012/2013,151000 km,São Bernardo do Campo - SP,Loja,R$ 45990
FORD FIESTA,1.6 TITANIUM HATCH 16V FLEX 4P POWERSHIFT,Y,2015/2016,89000 km,Campinas - SP,Loja,R$ 51980
HONDA FIT,1.4 LX 16V FLEX 4P AUTOMÁTICO,Y,2013/2013,115000 km,Tubarão - SC,Loja,R$ 41500
VOLKSWAGEN POLO,1.0 200 TSI FLEX HIGHLINE AUTOMÁTICO,Y,2019/2020,11250 km,Osasco - SP,Loja,R$ 94890
HONDA FIT,1.5 LX 16V FLEX 4P AUTOMÁTICO,Y,2017/2018,69310 km,São Paulo - SP,Loja,R$ 68990
VOLKSWAGEN POLO,1.0 200 TSI FLEX HIGHLINE AUTOMÁTICO,Y,2018/2019,30766 km,Rio do Sul - SC,Loja,R$ 88900
HONDA FIT,1.5 EX 16V FLEX 4P AUTOMÁTICO,Y,2018/2019,16570 km,Jundiaí - SP,Loja,R$ 91900
HONDA FIT,1.5 EX 16V FLEX 4P AUTOMÁTICO,Y,2014/2015,44000 km,São Paulo - SP,Loja,R$ 68890
HONDA FIT,1.5 LX 16V FLEX 4P AUTOMÁTICO,Y,2016/2017,71000 km,São Bernardo do Campo - SP,Loja,R$ 69800
CHEVROLET CRUZE,1.4 TURBO SPORT6 LT 16V FLEX 4P AUTOMÁTICO,Y,2020/2020,12000 km,Blumenau - SC,Concessionária,R$ 112990
FORD FIESTA,1.6 TITANIUM HATCH 16V FLEX 4P POWERSHIFT,Y,2015/2016,77200 km,Sorocaba - SP,Loja,R$ 56900
CHEVROLET CRUZE,1.4 TURBO SPORT6 LTZ 16V FLEX 4P AUTOMÁTICO,Y,2019/2019,17000 km,Chapecó - SC,Loja,R$ 108000
HYUNDAI HB20X,1.6 16V FLEX DIAMOND AUTOMÁTICO,Y,2021/2022,1100 km,São Paulo - SP,Loja,R$ 95900
HONDA FIT,1.5 EX 16V FLEX 4P AUTOMÁTICO,Y,2010/2010,99000 km,São Paulo - SP,Loja,R$ 43900
HYUNDAI HB20,1.6 COMFORT PLUS 16V FLEX 4P AUTOMÁTICO,Y,2017/2018,94000 km,Laguna - SC,Loja,R$ 64000
HONDA FIT,1.5 LX 16V FLEX 4P AUTOMÁTICO,Y,2018/2018,18085 km,Suzano - SP,Loja,R$ 76900
CHEVROLET ONIX,1.4 MPFI ACTIV 8V FLEX 4P AUTOMÁTICO,Y,2018/2019,70000 km,São Bernardo do Campo - SP,Loja,R$ 68990
HONDA FIT,1.5 EX 16V FLEX 4P AUTOMÁTICO,Y,2016/2017,49000 km,Blumenau - SC,Concessionária,R$ 81900
HONDA FIT,1.5 LX 16V FLEX 4P AUTOMÁTICO,Y,2014/2015,74000 km,São Paulo - SP,Loja,R$ 62499
HONDA FIT,1.5 EX 16V FLEX 4P AUTOMÁTICO,Y,2010/2010,117000 km,Campinas - SP,Loja,R$ 41990
CHEVROLET ONIX,1.4 MPFI LTZ 8V FLEX 4P AUTOMÁTICO,Y,2014/2015,78000 km,Uberaba - MG,Loja,R$ 53900
HONDA FIT,1.5 DX 16V FLEX 4P AUTOMÁTICO,Y,2016/2017,53000 km,Itajaí - SC,Loja,R$ 69800
HONDA FIT,1.5 LX 16V FLEX 4P AUTOMÁTICO,Y,2016/2016,48000 km,Campinas - SP,Loja,R$ 67980
FIAT ARGO,1.8 E.TORQ FLEX HGT AT6,Y,2018/2018,37630 km,Rio de Janeiro - RJ,Loja,R$ 75980
CITROËN C3,1.6 VTI 120 FLEX 100 ANOS EAT6,Y,2019/2020,15000 km,Fortaleza - CE,Pessoa Física,R$ 59900
HONDA FIT,1.5 EX 16V FLEX 4P AUTOMÁTICO,Y,2015/2015,77000 km,Campo Grande - MS,Pessoa Física,R$ 49990
AUDI A1,1.4 TFSI SPORTBACK ATTRACTION 16V 122CV GASOLINA 4P S-TRONIC,Y,2018/2018,32000 km,Recife - PE,Pessoa Física,R$ 96000
MINI COOPER,2.0 16V TWINPOWER GASOLINA JOHN COOPER WORKS 2P STEPTRONIC,Y,2019/2020,15000 km,Rio de Janeiro - RJ,Pessoa Física,R$ 209900
VOLKSWAGEN POLO,1.0 200 TSI FLEX HIGHLINE AUTOMÁTICO,Y,2019/2020,10300 km,Curitiba - PR,Pessoa Física,R$ 85900
TOYOTA YARIS,1.5 16V FLEX XLS MULTIDRIVE,Y,2019/2019,17643 km,Porto Velho - RO,Pessoa Física,R$ 79990
VOLKSWAGEN GOL,1.6 16V MSI TOTALFLEX 4P AUTOMÁTICO,Y,2019/2019,21100 km,Olinda - PE,Pessoa Física,R$ 56000
CHEVROLET ONIX,1.4 MPFI ACTIV 8V FLEX 4P AUTOMÁTICO,Y,2018/2019,22400 km,Recife - PE,Pessoa Física,R$ 67999
VOLKSWAGEN POLO,1.0 200 TSI FLEX HIGHLINE AUTOMÁTICO,Y,2018/2019,29216 km,Brasília - DF,Pessoa Física,R$ 81000
PEUGEOT 208,1.6 ACTIVE PACK 16V FLEX 4P AUTOMÁTICO,Y,2018/2019,33000 km,Caldas Novas - GO,Pessoa Física,R$ 47800
HONDA FIT,1.5 LX 16V FLEX 4P AUTOMÁTICO,Y,2019/2019,20000 km,São Paulo - SP,Loja,R$ 81990
PEUGEOT 208,1.6 GRIFFE 16V FLEX 4P AUTOMÁTICO,Y,2017/2018,38950 km,São Paulo - SP,Pessoa Física,R$ 62300
FORD FIESTA,1.6 TITANIUM HATCH 16V FLEX 4P POWERSHIFT,Y,2015/2016,48200 km,São Paulo - SP,Pessoa Física,R$ 52500
