Automóvel,Descrição,Automático,Ano,Km,Local,Anunciante,Preço
FORD ECOSPORT,1.6 XLT FREESTYLE 8V FLEX 4P MANUAL,N,2010/2011,98447 km,São Roque - SP,Loja,R$ 36900
RENAULT CAPTUR,1.6 16V SCE FLEX BOSE X-TRONIC,Y,2020/2021,14518 km,Indaial - SC,Loja,R$ 101900
HONDA HR-V,1.8 16V FLEX EX 4P AUTOMÁTICO,Y,2017/2018,32322 km,São Paulo - SP,Loja,R$ 101900
NISSAN KICKS,1.6 16V FLEXSTART SV 4P XTRONIC,Y,2020/2021,5000 km,São Paulo - SP,Loja,R$ 108900
JEEP RENEGADE,1.8 16V FLEX LONGITUDE 4P AUTOMÁTICO,Y,2017/2018,52000 km,Criciúma - SC,Loja,R$ 89900
CHEVROLET SPIN,1.8 LTZ 8V FLEX 4P AUTOMÁTICO,Y,2012/2013,112000 km,São José do Rio Preto - SP,Loja,R$ 47900
VOLKSWAGEN SPACEFOX,1.6 MSI COMFORTLINE 8V FLEX 4P MANUAL,N,2015/2016,48000 km,Indaial - SC,Loja,R$ 57900
RENAULT CAPTUR,1.6 16V SCE FLEX BOSE X-TRONIC,Y,2021/2021,12075 km,Indaial - SC,Loja,R$ 107500
VOLKSWAGEN NIVUS,1.0 200 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO,Y,2021/2021,0 km,Criciúma - SC,Loja,R$ 125900
VOLKSWAGEN T-CROSS,1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO,Y,2019/2020,20500 km,Praia Grande - SP,Concessionária,R$ 106900
FORD ECOSPORT,1.5 TI-VCT FLEX FREESTYLE MANUAL,N,2017/2018,34000 km,Serra - ES,Loja,R$ 71900
VOLKSWAGEN T-CROSS,1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO,Y,2019/2020,29190 km,Boituva - SP,Loja,R$ 111500
FORD ECOSPORT,2.0 TITANIUM 16V FLEX 4P POWERSHIFT,Y,2015/2015,99000 km,Joinville - SC,Loja,R$ 55900
VOLKSWAGEN SPACEFOX,1.6 MSI TRENDLINE 8V FLEX 4P MANUAL,N,2018/2019,84000 km,João Pessoa - PB,Loja,R$ 58900
RENAULT DUSTER,1.6 16V SCE FLEX ICONIC X-TRONIC,Y,2020/2021,4218 km,Joaçaba - SC,Loja,R$ 97900
CHEVROLET ONIX,1.0 TURBO FLEX PLUS PREMIER AUTOMÁTICO,Y,2019/2020,9600 km,Tijucas - SC,Loja,R$ 92900
JEEP RENEGADE,1.8 16V FLEX LONGITUDE 4P AUTOMÁTICO,Y,2019/2019,33879 km,Praia Grande - SP,Loja,R$ 95900
FIAT CRONOS,1.8 E.TORQ FLEX PRECISION MANUAL,N,2018/2019,85766 km,Itajaí - SC,Concessionária,R$ 71900
VOLKSWAGEN T-CROSS,1.0 200 TSI TOTAL FLEX AUTOMÁTICO,Y,2021/2021,0 km,Itaúna - MG,Loja,R$ 115900
CHEVROLET SPIN,1.8 LTZ 8V FLEX 4P MANUAL,N,2013/2013,100819 km,São José do Rio Preto - SP,Concessionária,R$ 48900
HYUNDAI CRETA,1.6 16V FLEX 1 MILLION AUTOMÁTICO,Y,2018/2019,29000 km,Francisco Beltrão - PR,Loja,R$ 99900
FORD ECOSPORT,1.5 TI-VCT FLEX SE AUTOMÁTICO,Y,2018/2019,63000 km,Valinhos - SP,Concessionária,R$ 73990
RENAULT DUSTER,1.6 16V SCE FLEX EXPRESSION X-TRONIC,Y,2019/2020,31500 km,Apucarana - PR,Loja,R$ 78900
VOLKSWAGEN TAOS,1.4 250 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO,Y,2021/2022,0 km,São Paulo - SP,Loja,R$ 198880
FORD ECOSPORT,1.5 TI-VCT FLEX FREESTYLE AUTOMÁTICO,Y,2020/2020,3209 km,Brasília - DF,Loja,R$ 82490
